ID;Jugador;MJ;PJ;PJ;PC;PC;PT;PT;PS;PS;TA;TR;SA;G;PR;GPP;GE
berenguer;Alex Berenguer;1441;24;96.00;3;12.50;17;68.00;14;56.00;3;0;0;5;2;0;12
alex-kral;Alex Kral;2192;25;100.00;23;92.00;24;96.00;1;4.00;1;0;0;0;0;0;35
alex-marchal;Alex Marchal;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
alexander-sorloth;Alexander Sørloth;904;22;88.00;2;9.09;8;32.00;6;24.00;1;0;0;9;0;0;5
alfonso-1;Alfon Gonzalez;524;14;56.00;0;0.00;5;20.00;5;20.00;0;1;0;1;0;0;12
a-espino;Alfonso Espino;398;6;24.00;3;50.00;5;20.00;2;8.00;2;0;0;0;0;0;5
a-pedraza;Alfonso Pedraza;1;1;4.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
ali-fadal;Ali Fadal;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
nyom;Allan Nyom;586;11;44.00;3;27.27;7;28.00;4;16.00;4;0;0;1;0;0;6
alvaro-abajas;Alvin Abajas;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
amath;Amath Ndiaye;316;9;36.00;0;0.00;5;20.00;5;20.00;0;0;0;0;0;0;6
ander-astralaga;Ander Astralaga;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
barrenetxea;Ander Barrenetxea;825;20;80.00;0;0.00;8;32.00;8;32.00;4;0;0;1;0;0;12
guevara;Ander Guevara;1415;23;92.00;6;26.09;15;60.00;9;36.00;1;0;0;0;0;0;21
ander;Ander Herrera;269;8;32.00;0;0.00;2;8.00;2;8.00;2;0;0;0;0;0;2
gorosabel;Andoni Gorosabel;755;11;44.00;3;27.27;9;36.00;6;24.00;1;0;0;0;0;0;8
andreas-christensen;Andreas Christensen;26;1;4.00;0;0.00;0;0.00;0;0.00;1;0;0;0;0;0;0
andrei;Andrei Ratiu;1999;23;92.00;20;86.96;22;88.00;2;8.00;4;0;0;1;0;0;22
lunin;Andrii Lunin;270;3;12.00;3;100.00;3;12.00;0;0.00;0;0;0;0;0;0;4
andre-almeida-1;Domingos Andre Ribeiro Almeida;1232;22;88.00;4;18.18;14;56.00;10;40.00;1;0;0;0;0;0;21
andre-ferreira;Andre Filipe Magalhaes Ribeiro Ferreira;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
andres-cuenca;Andres Cuenca;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
andy-pelmard;Andy Pelmard;205;4;16.00;1;25.00;2;8.00;1;4.00;1;0;0;0;0;0;3
ansu-fati;Ansu Fati;125;4;16.00;0;0.00;1;4.00;1;4.00;1;0;0;0;0;0;0
antal-yaakobishvili;Antal Yaakobishvili;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
budimir;Ante Budimir;1905;25;100.00;10;40.00;22;88.00;12;48.00;3;0;0;13;5;0;26
griezmann;Antoine Griezmann;1815;25;100.00;8;32.00;21;84.00;13;52.00;2;0;0;8;0;0;13
antonio-blanco;Antonio Blanco;1688;23;92.00;12;52.17;20;80.00;8;32.00;6;0;0;0;0;0;32
antonio-candela;Antonio Candela;213;3;12.00;1;33.33;3;12.00;2;8.00;0;0;0;0;0;0;9
antonio-espigares;Antonio Espigares;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
antonio-gomis;Antonio Gomis;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
a-raillo;Antonio Raillo;2039;23;95.83;22;95.65;23;95.83;1;4.17;2;1;0;1;0;0;26
antonio-rudiger;Antonio Rudiger;1812;23;92.00;19;82.61;21;84.00;2;8.00;2;0;0;0;2;0;19
sivera;Antonio Sivera;1854;21;84.00;20;95.24;21;84.00;1;4.00;4;0;0;0;0;1;33
sanchez;Antonio Sanchez;875;20;83.33;2;10.00;7;29.17;5;20.83;1;0;0;0;0;0;11
antoniu-roca;Antoniu Roca;482;14;56.00;0;0.00;6;24.00;6;24.00;3;0;0;0;0;0;5
antony;Antony Matheus dos Santos;323;4;16.00;2;50.00;4;16.00;2;8.00;1;1;0;2;1;0;5
a-tuhami;Anuar Tuhami;1141;15;60.00;7;46.67;13;52.00;6;24.00;5;0;0;2;1;0;25
arda-guler;Arda Guler;605;16;64.00;0;0.00;6;24.00;6;24.00;1;0;0;1;0;0;7
aridane-1;Aridane Hernandez;203;4;16.00;1;25.00;2;8.00;1;4.00;0;0;0;0;0;1;5
arambarri-1;Aritz Arambarri;178;2;8.00;1;50.00;2;8.00;1;4.00;0;0;0;0;0;0;2
aritz;Aritz Elustondo;693;12;48.00;4;33.33;7;28.00;3;12.00;0;0;0;0;0;0;8
arkaitz-mariezkurrena;Arkaitz Mariezkurrena;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
arnau-1;Arnau Martinez;1697;21;84.00;16;76.19;19;76.00;3;12.00;2;0;0;2;0;0;27
arnau-rafus;Arnau Rafus;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
arnau-sola;Arnau Sola;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
arnaut-danjuma;Arnaut Danjuma;1004;18;72.00;2;11.11;12;48.00;10;40.00;3;0;0;3;0;0;17
arsen-zakharyan;Arsen Zakharyan;71;3;12.00;0;0.00;1;4.00;1;4.00;0;0;0;1;0;0;0
arthur;Arthur Henrique Ramos de Oliveira Melo;55;2;8.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;1
arthur-vermeeren;Arthur Vermeeren;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
asier-osambela;Asier Osambela;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
villalibre;Asier Villalibre;273;12;48.00;0;0.00;2;8.00;2;8.00;1;0;0;1;0;0;8
assane-diao;Assane Diao;272;10;40.00;0;0.00;2;8.00;2;8.00;0;0;0;1;0;0;4
augusto-batalla;Augusto Batalla;1800;20;80.00;20;100.00;20;80.00;0;0.00;3;0;0;0;0;0;20
aurelien-tchouameni;Aurelien Tchouameni;1727;20;80.00;17;85.00;20;80.00;3;12.00;1;0;0;0;0;0;19
axel-witsel;Axel Witsel;757;12;48.00;7;58.33;8;32.00;1;4.00;1;0;0;0;0;0;8
ayoze-perez;Ayoze Perez;1080;18;72.00;4;22.22;11;44.00;7;28.00;3;0;0;11;0;0;13
b-ramirez;Benito Ramirez;371;16;64.00;0;0.00;1;4.00;1;4.00;2;1;0;0;0;0;8
bertug-yildirim;Bertug Yildirim;930;17;68.00;2;11.76;12;48.00;10;40.00;7;0;0;1;1;0;6
benat-prados;Benat Prados;1065;19;76.00;2;10.53;13;52.00;11;44.00;6;0;0;1;0;0;9
benat-turrientes;Benat Turrientes;604;13;52.00;2;15.38;8;32.00;6;24.00;4;0;0;0;0;0;4
bojan-miovski;Bojan Miovski;660;12;48.00;1;8.33;9;36.00;8;32.00;0;0;0;2;1;0;13
b-iglesias;Borja Iglesias;1335;25;100.00;1;4.00;16;64.00;15;60.00;2;0;0;5;2;0;21
b-mayoral;Borja Mayoral;389;11;44.00;1;9.09;1;4.00;0;0.00;0;0;0;4;0;0;5
borna-barisic;Borna Barisic;10;1;4.00;0;0.00;1;4.00;1;4.00;0;0;0;0;0;0;0
brahim;Brahim Diaz;915;20;80.00;4;20.00;10;40.00;6;24.00;0;0;0;3;0;0;10
brais-mendez;Brais Mendez;1265;21;84.00;4;19.05;15;60.00;11;44.00;4;0;0;3;0;0;13
b-olivan;Brian Olivan;1017;17;68.00;7;41.18;12;48.00;5;20.00;2;0;0;0;0;0;16
bryan;Bryan Gil;1574;23;92.00;4;17.39;19;76.00;15;60.00;3;0;0;3;0;0;28
bryan-zaragoza;Bryan Zaragoza;1284;19;76.00;1;5.26;16;64.00;15;60.00;3;0;0;1;0;0;20
carl-starfelt;Carl Starfelt;1806;22;88.00;18;81.82;20;80.00;2;8.00;5;0;0;1;0;0;30
alena;Carles Alena;628;12;48.00;1;8.33;7;28.00;6;24.00;1;0;0;0;0;0;7
c-perez;Carles Perez;1282;21;84.00;4;19.05;14;56.00;10;40.00;2;0;0;2;0;0;14
carlos-benavidez;Carlos Benavidez;328;10;40.00;1;10.00;5;20.00;4;16.00;2;0;0;1;0;0;8
c-dominguez;Carlos Dominguez;738;12;48.00;6;50.00;9;36.00;3;12.00;1;0;0;0;0;1;14
carlos-guirao;Carlos Guirao;112;2;8.00;0;0.00;2;8.00;2;8.00;0;0;0;0;0;0;6
carlos-lumbreras;Carlos Lumbreras;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
carlos-martin;Carlos Martin;841;16;64.00;0;0.00;10;40.00;10;40.00;2;0;0;2;0;0;11
carlos-romero;Carlos Romero;1393;21;84.00;7;33.33;15;60.00;8;32.00;5;0;0;2;0;0;24
carlos-vicente;Carlos Vicente;2077;24;96.00;18;75.00;24;96.00;6;24.00;1;0;0;3;0;0;33
catala;Jose Luis Catala Vazquez;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
cenk-ozkacar;Cenk Ozkacar;196;4;16.00;2;50.00;3;12.00;1;4.00;0;0;0;0;0;0;5
chema-andres;Jose Maria Andres Baixauli;7;1;4.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
chidera-ejuke;Chidera Ejuke;633;14;58.33;2;14.29;6;25.00;4;16.67;0;0;0;1;0;0;8
chimy-avila;Chimy Avila;606;17;68.00;2;11.76;6;24.00;4;16.00;4;1;0;2;0;0;7
chiquinho-1;Francisco Jorge Tavares Oliveira;141;8;33.33;0;0.00;1;4.17;1;4.17;2;0;0;0;0;0;2
christantus-uche;Christantus Uche;1798;24;96.00;7;29.17;21;84.00;14;56.00;5;0;0;3;0;0;14
ivan-cantalejo;Ivan Cantalejo;281;8;32.00;0;0.00;4;16.00;4;16.00;1;0;0;0;0;0;14
lenglet;Clement Lenglet;1196;14;56.00;11;78.57;14;56.00;3;12.00;7;0;0;1;0;0;9
coba-da-costa;Coba da Costa;582;9;36.00;1;11.11;7;28.00;6;24.00;3;0;0;1;0;0;4
conor-gallagher;Conor Gallagher;1036;19;76.00;4;21.05;13;52.00;9;36.00;2;0;0;2;0;0;8
copete;Jose Manuel Arias Copete;743;16;66.67;7;43.75;7;29.17;0;0.00;4;0;0;0;0;0;12
cristhian-mosquera;Cristhian Mosquera;2150;24;96.00;23;95.83;24;96.00;1;4.00;5;0;0;1;0;0;34
stuani;Cristhian Stuani;474;19;76.00;0;0.00;1;4.00;1;4.00;2;0;0;4;0;0;8
cucho;Cucho Hernandez;153;2;8.00;0;0.00;2;8.00;2;8.00;0;0;0;0;1;0;0
cyle-larin;Cyle Larin;1218;20;83.33;1;5.00;16;66.67;15;62.50;4;0;0;5;1;0;15
bakambu;Cedric Bakambu;500;15;60.00;0;0.00;5;20.00;5;20.00;4;0;0;1;0;0;4
cesar-azpilicueta;Cesar Azpilicueta;572;8;32.00;4;50.00;7;28.00;3;12.00;0;0;0;0;0;0;4
cesar-gonzalez;Cesar Fernandez;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
cesar-tarrega;Cesar Tarrega;1947;22;88.00;21;95.45;22;88.00;1;4.00;3;0;0;2;0;1;34
c-de-la-hoz;Cesar de la Hoz;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
daley-blind;Daley Blind;1609;21;84.00;16;76.19;18;72.00;2;8.00;2;0;0;0;0;0;23
daley-sinkgraven;Daley Sinkgraven;90;2;8.00;0;0.00;1;4.00;1;4.00;0;0;0;0;0;0;2
damian-rodriguez;Damian Rodriguez;651;12;48.00;5;41.67;6;24.00;1;4.00;2;0;0;0;0;0;17
carvajal;Dani Carvajal;609;8;32.00;5;62.50;7;28.00;2;8.00;2;0;0;1;0;0;3
d-ceballos;Dani Ceballos;835;15;60.00;2;13.33;10;40.00;8;32.00;4;0;0;0;0;0;5
cardenas;Dani Cardenas;450;5;20.00;5;100.00;5;20.00;0;0.00;0;0;0;0;0;0;6
dani-gomez-1;Dani Gomez;526;14;56.00;1;7.14;5;20.00;4;16.00;0;0;0;2;0;0;9
dani-olmo;Dani Olmo;744;15;60.00;0;0.00;7;28.00;7;28.00;0;0;0;6;0;0;5
parejo;Dani Parejo;1516;23;92.00;9;39.13;17;68.00;8;32.00;6;0;0;3;0;0;25
dani-raba;Dani Raba;1036;17;68.00;3;17.65;13;52.00;10;40.00;3;0;0;3;1;0;16
daniel-requena;Dani Requena;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
dani-rodriguez;Dani Rodriguez;1421;24;100.00;1;4.17;17;70.83;16;66.67;2;0;0;4;0;0;20
vivian;Dani Vivian;1854;22;88.00;20;90.91;20;80.00;0;0.00;2;0;0;3;0;0;18
daniel-luna;Daniel Luna;18;2;8.33;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
daniel-yanez;Daniel Yanez;1;1;4.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
daouda-doumbia;Daouda Doumbia;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
darko;Darko Brasanac;1245;21;84.00;4;19.05;12;48.00;8;32.00;2;0;0;1;1;0;22
d-machis;Darwin Machis;408;10;40.00;0;0.00;5;20.00;5;20.00;0;0;0;0;0;0;7
dario-benavides;Dario Benavides;4;1;4.17;0;0.00;0;0.00;0;0.00;1;0;0;0;0;0;0
david-alaba;David Alaba;109;3;12.00;0;0.00;1;4.00;1;4.00;0;0;0;0;0;0;0
david-2;David Arguelles;6;1;4.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
david-jimenez-1;David Jimenez;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
david-lopez;David Lopez;1905;22;88.00;20;90.91;21;84.00;1;4.00;3;0;0;1;0;0;31
david-lopez-4;David Lopez;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
david-otorbi;David Otorbi;13;1;4.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
david-soria;David Soria;2250;25;100.00;25;100.00;25;100.00;0;0.00;1;0;0;0;0;0;20
david-torres-1;David Torres;1271;16;64.00;12;75.00;13;52.00;1;4.00;4;0;0;0;0;1;34
dawda-camara;Dawda Camara;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
denis-suarez;Denis Suarez;353;13;52.00;0;0.00;4;16.00;4;16.00;0;0;0;1;0;0;8
diego-aguado;Diego Aguado;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
diego-conde;Diego Conde;1693;19;76.00;18;94.74;19;76.00;1;4.00;2;0;0;0;0;0;28
diego-ferrer;Diego Ferrer;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
diego-garcia-2;Diego Garcia;576;16;64.00;3;18.75;6;24.00;3;12.00;0;0;0;1;1;0;13
diego-hormigo;Diego Hormigo;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
